Shop,Latitude,Longitude
綠水,25.056343,121.296818
A-Gen,25.058007,121.294808
LOGO,25.056162,121.294665
Louisa南嵌店,25.050161,121.292691
四季芳庭,25.047673,121.294551
JD Show,25.045635,121.295324
Ten Past Ten,25.045962,121.292608
午後時光,25.048840,121.293757
午逅,25.051165,121.290912
32號豆倉,25.040007,121.290912
Worthy,25.049679,121.288122
OVEN,25.043336,121.286810
老窩,25.040974,121.289740
星巴克,25.053395, 121.286614
沐瑟,25.045575,121.291021
丹,25.050474,121.296948
胖茶壺,25.051757,121.301183
85度C,25.041007,121.289798
烘豆子,25.045393,121.288013
Ease,25.040418,121.289858
Mitty,25.043381,121.293218
豆趣,25.055262,121.290805
